id,movie_path,dimension,stimulus_type,order_emojis_slider,block,luminance,audio_report
7,../stimuli/exp_videos/2D/7.mp4,arousal,positive,direct,1,../stimuli/exp_videos/2D/green_intensity_video_3.mp4,yes
4,../stimuli/exp_videos/2D/4.mp4,arousal,positive,direct,1,../stimuli/exp_videos/2D/green_intensity_video_3.mp4,yes
9,../stimuli/exp_videos/2D/9.mp4,arousal,negative,direct,1,../stimuli/exp_videos/2D/green_intensity_video_3.mp4,yes
8,../stimuli/exp_videos/2D/8.mp4,arousal,negative,direct,1,../stimuli/exp_videos/2D/green_intensity_video_3.mp4,yes
